STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080329 14:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080330 11:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080331 07:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080331 09:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080331 10:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080331 12:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080331 14:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080331 16:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080331 20:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080331 21:00,0.6, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080401 01:00,0,g, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080401 07:00,0.3, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080401 08:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080401 10:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080401 12:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080401 17:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080403 00:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080403 01:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080403 02:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080403 08:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080403 09:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080403 10:00,0.6, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080404 00:00,0.9, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080404 01:00,0.6, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080404 02:00,0.5, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080404 10:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080404 15:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080404 17:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080404 20:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080405 11:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080405 12:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080405 14:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080406 17:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080410 16:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080410 17:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080410 18:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080410 19:00,0.3, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080410 20:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080410 21:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080411 03:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080411 08:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080411 09:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080411 14:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080416 14:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080418 15:00,0.3, , 
